,date,price
946,2020.07.04,9183.295583
947,2020.07.05,9162.183232
948,2020.07.06,9375.474759
949,2020.07.07,9360.617575
950,2020.07.08,9450.335672
951,2020.07.09,9431.378581
952,2020.07.10,9287.471594
953,2020.07.11,9293.532681
954,2020.07.12,9319.419417
955,2020.07.13,9306.40493
956,2020.07.14,9283.842142
957,2020.07.15,9275.325125
958,2020.07.16,9214.312698
959,2020.07.17,9182.254308
960,2020.07.18,9230.983505
961,2020.07.19,9201.398483
962,2020.07.20,9214.270629
963,2020.07.21,9407.263056
964,2020.07.22,9530.519009
965,2020.07.23,9610.247125
966,2020.07.24,9623.337032
967,2020.07.25,9704.557013
968,2020.07.26,10023.80766
969,2020.07.27,11298.22176
970,2020.07.28,11204.3276
971,2020.07.29,11304.39707
972,2020.07.30,11169.35667
973,2020.07.31,11415.8639
974,2020.08.01,11794.77539
975,2020.08.02,12034.14415
976,2020.08.03,11453.07872
977,2020.08.04,11385.38157
978,2020.08.05,11786.6169
979,2020.08.06,11902.33597
980,2020.08.07,11898.03841
981,2020.08.08,11800.06485
982,2020.08.09,11806.05628
983,2020.08.10,12045.14032
984,2020.08.11,11932.71117
985,2020.08.12,11748.39649
986,2020.08.13,11796.39619
987,2020.08.14,12150.99367
988,2020.08.15,11963.20306
989,2020.08.16,11934.90092
990,2020.08.17,12359.05702
991,2020.08.18,12335.70707
992,2020.08.19,12028.92344
993,2020.08.20,11900.41118
994,2020.08.21,11899.25932
995,2020.08.22,11689.40739
996,2020.08.23,11713.42979
997,2020.08.24,11807.63232
998,2020.08.25,11778.2999
999,2020.08.26,11530.05307
1000,2020.08.27,11570.78631
